Temperature,Humidity,HeatIndex,Time
25,70,30,170
28,66,32,171
35,55,31,172
28,13,27,173
18,55,34,174
22,54,32,175
30,10,29,176
25,14,35,177
21,13,30,178
36,52,29,179
37,53,30,180
23,10,25,181
30,26,32,182
21,19,31,183
28,51,29,184
26,72,34,185
31,79,32,186
23,53,29,187
30,24,33,188
18,64,26,189
23,45,27,190
32,47,30,191
23,21,27,192
37,10,30,193
19,64,33,194
38,11,35,195
20,25,27,196
19,34,27,197
29,35,25,198
29,45,32,199
19,78,35,200
21,39,27,201
29,32,25,202
35,48,25,203
33,25,32,204
34,10,31,205
20,45,27,206
37,36,34,207
36,37,34,208
29,75,28,209
31,62,31,210
30,14,26,211
29,40,28,212
37,58,27,213
33,42,35,214
37,33,31,215
25,44,30,216
38,38,31,217
27,77,28,218
29,12,28,219
28,70,29,220
19,60,25,221
37,12,27,222
33,19,35,223
35,21,30,224
21,15,33,225
22,47,25,226
33,43,31,227
25,53,27,228
29,16,29,229
33,72,35,230
22,37,35,231
37,53,30,232
19,19,30,233
19,24,33,234
22,68,27,235
32,27,29,236
21,37,26,237
28,44,32,238
20,67,30,239
35,62,28,240
31,47,26,241
30,51,25,242
32,35,35,243
24,80,32,244
23,73,28,245
38,50,27,246
19,29,32,247
37,21,32,248
38,76,29,249
26,52,26,250
27,37,29,251
29,68,33,252
22,73,25,253
22,73,26,254
37,64,25,255
23,29,31,256
23,62,26,257
33,80,32,258
28,25,35,259
35,36,26,260
25,18,25,261
20,29,35,262
20,32,31,263
25,51,30,264
33,10,35,265
29,35,32,266
20,30,31,267
29,61,34,268
30,50,34,269
35,18,27,270
32,34,32,271
32,80,30,272
36,27,30,273
35,43,32,274
26,34,28,275
18,63,28,276
32,20,32,277
18,14,27,278
19,47,30,279
28,43,33,280
20,78,28,281
26,57,31,282
21,77,29,283
36,13,28,284
30,17,34,285
37,52,30,286
18,34,35,287
23,29,34,288
21,60,35,289
25,38,34,290
18,55,25,291
31,56,26,292
28,49,26,293
32,73,33,294
31,41,27,295
37,22,27,296
36,64,33,297
38,64,30,298
20,61,32,299
35,27,35,300
19,46,26,301
30,47,30,302
25,38,32,303
24,70,26,304
33,49,29,305
38,14,33,306
37,53,30,307
20,47,29,308
25,40,31,309
24,49,30,310
20,60,29,311
26,33,27,312
18,37,34,313
23,54,28,314
30,78,26,315
28,59,34,316
25,69,27,317
30,74,29,318
25,72,30,319
24,63,26,320
24,41,26,321
34,42,25,322
27,71,25,323
29,54,27,324
33,23,29,325
21,17,26,326
23,54,26,327
35,70,34,328
36,66,27,329
18,28,34,330
18,73,27,331
25,79,31,332
20,10,27,333
29,10,25,334
25,12,35,335
20,32,25,336
34,49,26,337
24,68,34,338
18,51,27,339
31,60,25,340
28,80,33,341
25,67,31,342
36,51,25,343
33,23,29,344
26,39,32,345
26,37,30,346
19,24,34,347
38,32,33,348
19,51,27,349
19,76,33,350
32,39,28,351
21,59,35,352
33,54,32,353
22,78,25,354
36,79,28,355
19,18,33,356
32,14,31,357
34,55,30,358
28,31,35,359
29,21,30,360
18,40,35,361
20,50,33,362
26,45,34,363
24,21,34,364
25,54,34,365
27,58,34,366
35,31,30,367
35,33,25,368
28,19,30,369
34,42,33,370
22,40,30,371
21,74,34,372
28,30,34,373
31,20,28,374
24,62,34,375
20,13,25,376
28,68,33,377
29,14,25,378
28,58,27,379
23,75,26,380
27,72,35,381
32,20,32,382
22,14,33,383
38,65,28,384
24,33,26,385
24,35,26,386
35,49,32,387
24,69,33,388
18,50,26,389
27,39,30,390
23,31,32,391
26,59,29,392
24,14,33,393
25,62,35,394
19,10,25,395
20,71,34,396
33,17,25,397
32,35,28,398
32,78,28,399
20,23,33,400
25,29,25,401
37,52,33,402
18,75,28,403
26,64,32,404
23,34,25,405
37,50,29,406
21,63,26,407
28,61,35,408
24,68,26,409
30,63,32,410
23,40,31,411
28,48,28,412
34,52,34,413
29,51,26,414
27,47,27,415
19,32,30,416
23,64,33,417
32,25,28,418
37,51,32,419
34,46,35,420
33,29,31,421
33,44,31,422
33,74,30,423
21,77,27,424
23,23,30,425
25,51,27,426
35,54,30,427
20,66,25,428
23,69,27,429
36,11,25,430
23,40,28,431
23,63,32,432
26,50,30,433
35,45,25,434
29,21,26,435
23,15,30,436
23,34,26,437
33,62,33,438
21,21,32,439
25,59,28,440
34,32,30,441
24,77,26,442
35,36,26,443
26,37,28,444
35,55,34,445
28,32,35,446
35,78,31,447
24,64,32,448
36,77,31,449
31,30,28,450
24,45,28,451
20,62,27,452
19,40,29,453
38,42,27,454
28,54,28,455
26,25,26,456
30,71,28,457
21,67,27,458
38,56,35,459
35,12,34,460
31,23,31,461
37,26,28,462
37,50,35,463
27,80,26,464
20,70,28,465
36,54,25,466
34,29,25,467
25,27,28,468
27,59,31,469
35,64,34,470
24,68,29,471
36,15,31,472
26,61,28,473
29,28,32,474
25,63,34,475
23,66,30,476
36,57,35,477
36,80,25,478
34,20,34,479
21,36,26,480
20,59,34,481
37,20,33,482
19,37,25,483
32,51,33,484
25,36,35,485
36,57,28,486
29,17,27,487
38,51,28,488
19,57,33,489
22,30,25,490
21,59,27,491
29,78,33,492
22,23,28,493
37,72,25,494
19,13,27,495
38,53,26,496
31,61,27,497
27,80,35,498
38,75,27,499
32,56,27,500
32,37,25,501
22,15,34,502
20,36,31,503
25,25,31,504
22,28,31,505
33,71,25,506
36,74,30,507
20,24,35,508
25,48,34,509
24,79,27,510
33,60,25,511
23,61,28,512
29,56,30,513
26,80,30,514
21,76,27,515
28,52,26,516
18,13,33,517
21,38,35,518
21,50,27,519
18,64,34,520
25,46,31,521
22,44,27,522
29,34,33,523
24,78,30,524
36,79,29,525
27,53,29,526
26,11,28,527
32,61,34,528
25,21,34,529
29,22,28,530
30,22,25,531
21,30,35,532
37,56,30,533
24,41,27,534
33,45,27,535
38,76,31,536
24,24,32,537
25,11,25,538
26,40,31,539
20,43,34,540
34,68,35,541
18,63,28,542
29,16,35,543
31,65,30,544
24,40,35,545
24,56,31,546
24,14,33,547
24,77,31,548
28,52,31,549
28,17,30,550
23,30,28,551
34,61,25,552
27,42,32,553
33,16,27,554
37,10,28,555
26,69,34,556
20,70,30,557
20,79,25,558
32,24,26,559
23,57,33,560
21,43,31,561
32,35,28,562
21,20,29,563
31,16,35,564
33,13,31,565
23,48,31,566
32,74,29,567
18,47,26,568
22,21,32,569
31,78,28,570
29,10,35,571
19,29,32,572
38,42,26,573
27,65,32,574
23,57,25,575
29,47,35,576
27,56,33,577
19,58,35,578
20,12,25,579
37,48,29,580
27,66,32,581
36,50,31,582
21,40,35,583
31,17,25,584
20,38,27,585
29,28,27,586
36,80,25,587
23,38,33,588
33,30,26,589
37,14,32,590
36,49,30,591
28,73,28,592
28,25,28,593
30,58,29,594
23,16,28,595
38,62,31,596
23,25,32,597
32,17,31,598
22,58,33,599
29,21,27,600
33,39,28,601
20,55,32,602
36,12,32,603
21,75,30,604
22,79,33,605
36,10,28,606
36,41,31,607
26,51,30,608
23,73,27,609
36,30,28,610
18,67,35,611
35,55,25,612
34,22,34,613
38,11,33,614
33,37,33,615
22,79,31,616
22,11,35,617
26,30,32,618
33,27,28,619
33,12,29,620
35,76,35,621
19,55,27,622
31,49,33,623
22,33,27,624
21,68,25,625
22,39,29,626
34,56,35,627
36,34,31,628
23,26,33,629
35,21,34,630
20,24,32,631
36,46,32,632
28,66,27,633
35,19,26,634
21,38,34,635
36,19,33,636
28,51,28,637
20,72,31,638
32,37,33,639
31,16,32,640
26,30,32,641
19,71,29,642
31,47,26,643
27,42,32,644
34,33,26,645
28,75,25,646
27,73,25,647
25,57,31,648
33,46,27,649
37,17,26,650
37,61,33,651
22,79,33,652
22,16,25,653
32,30,31,654
37,49,26,655
18,74,28,656
33,57,26,657
24,67,28,658
23,11,25,659
36,50,27,660
28,50,26,661
22,77,32,662
28,34,31,663
27,53,34,664
19,10,34,665
37,35,25,666
24,74,27,667
21,15,35,668
37,53,32,669
33,14,35,670
26,80,30,671
33,46,28,672
35,68,29,673
19,15,26,674
21,57,32,675
18,40,35,676
23,77,31,677
19,41,27,678
31,14,27,679
18,75,31,680
18,23,29,681
33,25,33,682
31,28,35,683
24,58,29,684
37,33,35,685
23,65,26,686
37,20,26,687
22,59,26,688
28,19,35,689
33,37,27,690
21,26,31,691
31,69,26,692
26,34,27,693
31,69,30,694
34,47,35,695
27,66,30,696
37,43,32,697
24,17,29,698
18,31,30,699
23,26,34,700
34,19,29,701
37,24,26,702
36,31,26,703
18,33,33,704
23,33,33,705
20,44,29,706
25,50,28,707
32,63,30,708
18,59,25,709
22,49,32,710
21,41,25,711
33,39,33,712
24,17,34,713
24,66,34,714
31,65,33,715
32,57,30,716
36,76,33,717
26,29,25,718
20,26,27,719
24,25,31,720
37,52,34,721
18,57,33,722
18,71,28,723
33,33,31,724
35,71,29,725
18,40,35,726
20,35,28,727
27,25,25,728
30,59,25,729
26,30,34,730
23,62,25,731
31,76,25,732
29,20,31,733
24,76,25,734
21,65,28,735
32,67,33,736
30,60,27,737
19,52,26,738
37,42,34,739
21,77,33,740
31,26,35,741
23,66,29,742
27,16,29,743
29,32,35,744
22,27,29,745
18,56,28,746
29,68,30,747
19,70,32,748
33,55,35,749
28,36,34,750
21,61,34,751
35,28,34,752
36,70,35,753
34,18,34,754
37,41,27,755
21,43,32,756
31,24,32,757
28,44,31,758
36,29,34,759
19,42,34,760
25,54,30,761
29,51,32,762
19,41,27,763
35,56,26,764
36,57,26,765
37,28,25,766
20,12,27,767
23,77,30,768
29,67,30,769
37,35,28,770
30,30,26,771
26,35,32,772
23,17,29,773
22,19,28,774
37,31,35,775
26,15,33,776
35,64,31,777
27,65,30,778
21,78,35,779
27,57,34,780
31,39,27,781
18,33,34,782
21,64,32,783
33,37,26,784
20,42,30,785
22,72,30,786
28,24,31,787
32,18,35,788
28,75,29,789
18,56,32,790
21,60,32,791
32,77,28,792
23,78,33,793
21,13,32,794
33,34,28,795
22,36,27,796
26,32,29,797
31,52,31,798
31,70,31,799
26,41,31,800
36,49,34,801
36,58,32,802
36,37,33,803
23,11,35,804
34,69,33,805
23,75,35,806
22,76,35,807
28,69,35,808
28,16,34,809
27,49,27,810
32,65,31,811
31,57,35,812
31,79,34,813
26,66,32,814
25,22,30,815
29,61,35,816
19,11,35,817
24,67,34,818
31,68,30,819
21,25,30,820
36,25,28,821
30,52,35,822
18,50,28,823
28,32,29,824
18,78,35,825
29,64,25,826
24,49,26,827
25,74,35,828
25,33,26,829
38,16,28,830
34,42,25,831
34,79,32,832
35,29,35,833
33,76,32,834
29,21,28,835
22,62,25,836
33,66,34,837
34,51,28,838
20,28,28,839
31,63,26,840
25,37,25,841
27,36,35,842
32,45,26,843
27,25,26,844
20,72,30,845
27,13,26,846
19,69,34,847
26,11,26,848
24,69,25,849
38,78,25,850
25,14,26,851
29,69,32,852
20,17,25,853
35,48,34,854
28,21,31,855
34,30,26,856
18,74,32,857
36,70,25,858
34,75,31,859
30,38,35,860
24,17,26,861
19,67,33,862
21,40,27,863
28,69,26,864
23,75,34,865
34,36,26,866
30,53,35,867
24,34,26,868
19,29,28,869
36,34,26,870
38,25,34,871
32,28,33,872
28,63,25,873
30,57,29,874
27,73,25,875
21,72,28,876
35,69,27,877
21,51,31,878
32,52,27,879
27,41,33,880
22,10,30,881
26,31,27,882
23,55,26,883
30,34,27,884
24,80,30,885
37,45,30,886
26,58,33,887
33,38,31,888
36,14,33,889
20,50,26,890
20,66,34,891
32,37,25,892
26,72,29,893
32,65,29,894
32,24,26,895
26,60,25,896
33,63,32,897
27,39,30,898
19,58,25,899
20,43,32,900
32,75,25,901
35,71,29,902
34,25,26,903
18,53,28,904
25,71,33,905
29,22,29,906
33,19,26,907
35,50,32,908
22,50,35,909
30,12,30,910
35,75,29,911
22,64,26,912
25,12,29,913
28,12,26,914
23,68,26,915
37,15,29,916
36,68,34,917
37,37,33,918
29,65,28,919
26,71,32,920
32,79,33,921
31,27,33,922
34,31,33,923
24,66,25,924
22,35,26,925
26,75,26,926
36,61,30,927
30,61,34,928
25,44,32,929
34,15,31,930
38,64,34,931
20,64,30,932
37,56,31,933
30,20,33,934
34,63,26,935
26,60,30,936
35,78,33,937
32,66,28,938
29,67,31,939
31,56,26,940
26,36,28,941
32,42,27,942
20,54,29,943
38,53,34,944
34,15,33,945
36,39,27,946
26,12,26,947
31,52,27,948
32,32,31,949
19,11,28,950
36,41,35,951
35,41,28,952
38,54,34,953
19,73,35,954
32,58,32,955
22,57,34,956
33,23,32,957
31,74,25,958
18,45,34,959
35,23,26,960
30,45,32,961
30,10,34,962
34,67,33,963
20,80,33,964
23,10,33,965
21,53,25,966
21,16,27,967
30,30,32,968
26,13,29,969
22,70,35,970
33,36,33,971
19,69,29,972
31,60,28,973
36,45,34,974
25,49,33,975
37,63,31,976
32,61,33,977
33,13,26,978
24,51,29,979
21,21,29,980
33,56,35,981
20,47,32,982
27,23,34,983
28,55,32,984
26,11,27,985
34,77,33,986
33,66,28,987
37,19,32,988
38,28,26,989
29,65,27,990
36,30,34,991
31,36,28,992
32,56,26,993
19,44,30,994
32,35,33,995
26,15,29,996
21,35,26,997
28,77,28,998
38,70,33,999
32,73,30,1000
29,68,27,1001
24,64,25,1002
33,47,32,1003
27,13,35,1004
35,57,32,1005
33,42,32,1006
34,70,31,1007
36,32,26,1008
37,23,27,1009
32,80,26,1010
19,45,32,1011
26,19,31,1012
28,31,25,1013
29,67,35,1014
25,47,31,1015
38,27,32,1016
33,74,29,1017
31,27,33,1018
31,51,34,1019
36,31,35,1020
37,28,28,1021
26,73,33,1022
21,11,35,1023
27,79,29,1024
30,80,32,1025
29,11,30,1026
28,59,33,1027
33,51,33,1028
34,59,27,1029
20,57,32,1030
26,28,29,1031
33,10,25,1032
31,67,28,1033
24,12,25,1034
24,65,26,1035
20,15,35,1036
29,27,26,1037
36,40,29,1038
19,39,25,1039
33,73,27,1040
34,33,25,1041
34,40,27,1042
29,15,28,1043
24,57,30,1044
24,30,28,1045
28,42,30,1046
28,51,33,1047
38,68,34,1048
34,59,34,1049
18,39,35,1050
34,52,30,1051
25,45,34,1052
20,33,35,1053
32,41,31,1054
21,61,29,1055
33,29,32,1056
19,58,27,1057
24,43,30,1058
36,28,33,1059
19,38,31,1060
33,79,34,1061
35,46,29,1062
24,52,28,1063
20,42,33,1064
21,27,25,1065
22,45,34,1066
38,62,25,1067
33,13,35,1068
27,73,35,1069
23,72,25,1070
19,28,35,1071
22,54,35,1072
25,36,30,1073
19,60,30,1074
37,17,26,1075
18,71,25,1076
30,67,28,1077
38,40,30,1078
26,35,29,1079
33,40,33,1080
38,32,28,1081
34,51,27,1082
21,54,27,1083
29,34,27,1084
29,51,25,1085
33,54,28,1086
28,15,33,1087
24,61,29,1088
21,10,30,1089
31,56,35,1090
28,74,31,1091
25,29,30,1092
23,35,28,1093
36,36,35,1094
24,70,31,1095
26,33,27,1096
30,44,31,1097
26,50,34,1098
23,18,28,1099
25,26,28,1100
24,46,33,1101
20,49,32,1102
19,17,27,1103
31,22,29,1104
19,30,33,1105
19,31,35,1106
24,22,30,1107
29,25,34,1108
35,36,26,1109
34,42,25,1110
18,42,27,1111
29,72,28,1112
35,58,32,1113
19,30,33,1114
19,38,33,1115
33,40,25,1116
33,28,30,1117
28,19,32,1118
30,20,28,1119
20,10,34,1120
29,11,30,1121
30,68,26,1122
38,48,29,1123
29,19,31,1124
24,72,33,1125
20,78,25,1126
27,74,25,1127
31,24,32,1128
20,62,30,1129
31,35,35,1130
35,20,29,1131
38,55,30,1132
30,77,32,1133
20,70,31,1134
36,30,29,1135
21,36,35,1136
36,20,27,1137
37,66,30,1138
21,55,28,1139
23,20,34,1140
23,28,34,1141
32,63,34,1142
20,24,29,1143
32,56,26,1144
28,42,32,1145
38,10,29,1146
29,32,32,1147
28,70,26,1148
21,72,25,1149
34,57,32,1150
21,63,27,1151
36,79,27,1152
32,24,25,1153
35,28,25,1154
24,52,34,1155
23,41,26,1156
30,62,34,1157
18,37,35,1158
26,63,35,1159
24,52,35,1160
34,43,30,1161
22,27,28,1162
38,39,28,1163
24,76,31,1164
33,24,35,1165
18,48,32,1166
21,77,33,1167
19,54,25,1168
22,12,35,1169
35,78,26,1170
20,79,35,1171
30,58,26,1172
27,20,32,1173
23,24,30,1174
24,63,30,1175
36,78,31,1176
25,47,25,1177
19,25,32,1178
28,77,31,1179
21,22,34,1180
38,72,25,1181
21,10,32,1182
36,46,31,1183
38,43,29,1184
38,77,33,1185
25,10,35,1186
31,13,35,1187
34,78,28,1188
20,54,30,1189
26,21,25,1190
34,29,28,1191
19,71,28,1192
22,25,30,1193
31,42,28,1194
32,77,34,1195
21,52,33,1196
26,25,26,1197
30,44,35,1198
26,53,31,1199
22,76,35,1200
31,31,31,1201
21,19,29,1202
27,53,32,1203
20,64,35,1204
19,31,29,1205
20,33,33,1206
33,39,25,1207
28,53,29,1208
21,54,32,1209
22,61,26,1210
38,63,32,1211
23,10,25,1212
29,63,34,1213
19,46,29,1214
32,41,26,1215
30,35,32,1216
28,13,31,1217
33,75,35,1218
35,43,35,1219
31,30,29,1220
30,73,31,1221
33,22,35,1222
25,10,34,1223
31,28,27,1224
25,59,25,1225
32,39,29,1226
34,48,31,1227
18,66,32,1228
18,66,34,1229
27,62,35,1230
18,17,30,1231
25,44,34,1232
29,33,31,1233
22,45,27,1234
24,17,35,1235
36,60,26,1236
30,54,28,1237
23,30,27,1238
20,27,27,1239
35,67,34,1240
28,40,30,1241
20,21,34,1242
38,27,34,1243
35,37,29,1244
24,38,30,1245
23,71,35,1246
33,75,32,1247
20,27,31,1248
26,80,27,1249
25,27,28,1250
38,68,29,1251
34,50,26,1252
30,14,31,1253
29,64,32,1254
31,60,29,1255
26,18,33,1256
33,65,30,1257
38,41,31,1258
35,54,29,1259
26,55,35,1260
31,40,35,1261
33,47,26,1262
25,57,26,1263
31,47,33,1264
34,17,33,1265
23,11,25,1266
18,60,28,1267
25,65,30,1268
30,56,29,1269
23,56,30,1270
22,43,31,1271
23,35,27,1272
20,76,25,1273
24,47,32,1274
33,57,34,1275
23,45,32,1276
27,19,35,1277
27,63,34,1278
32,13,28,1279
36,58,30,1280
36,31,35,1281
19,20,28,1282
28,51,32,1283
18,17,30,1284
21,41,25,1285
36,34,33,1286
35,70,33,1287
19,31,27,1288
24,31,34,1289
27,70,27,1290
36,78,35,1291
32,53,34,1292
38,57,31,1293
19,15,32,1294
18,51,25,1295
31,25,35,1296
37,80,27,1297
24,31,34,1298
29,80,26,1299
24,36,34,1300
20,63,28,1301
22,41,25,1302
33,56,34,1303
18,65,32,1304
36,11,27,1305
37,19,28,1306
27,69,30,1307
20,43,32,1308
33,58,31,1309
20,40,28,1310
22,40,25,1311
26,62,31,1312
34,26,35,1313
27,46,27,1314
20,75,25,1315
29,35,29,1316
24,74,27,1317
26,80,33,1318
27,16,31,1319
37,20,26,1320
35,21,32,1321
19,51,25,1322
24,80,27,1323
20,25,27,1324
22,23,31,1325
18,21,30,1326
22,65,34,1327
25,50,35,1328
26,32,29,1329
33,25,26,1330
23,11,35,1331
27,38,33,1332
38,47,34,1333
19,75,35,1334
32,29,30,1335
23,58,35,1336
29,45,30,1337
29,39,33,1338
35,78,35,1339
19,69,27,1340
37,61,28,1341
30,74,33,1342
33,65,35,1343
29,69,25,1344
35,26,34,1345
31,30,35,1346
18,76,27,1347
38,61,33,1348
28,40,32,1349
38,10,33,1350
33,73,28,1351
25,12,25,1352
30,38,35,1353
26,40,26,1354
21,76,34,1355
21,18,28,1356
30,67,33,1357
31,27,26,1358
24,17,27,1359
24,45,27,1360
25,36,34,1361
38,11,35,1362
35,14,27,1363
34,33,29,1364
25,49,26,1365
21,62,35,1366
20,44,33,1367
19,28,25,1368
37,33,32,1369
30,70,33,1370
31,13,31,1371
21,75,34,1372
20,62,25,1373
21,13,34,1374
34,24,30,1375
19,56,30,1376
21,54,27,1377
38,50,35,1378
25,56,30,1379
28,13,32,1380
37,61,31,1381
33,13,28,1382
31,57,26,1383
21,14,26,1384
34,14,35,1385
23,38,28,1386
31,72,31,1387
24,48,30,1388
29,38,26,1389
33,15,35,1390
37,11,33,1391
38,47,34,1392
37,21,33,1393
30,25,31,1394
20,37,33,1395
27,72,28,1396
22,51,35,1397
30,51,26,1398
30,25,27,1399
19,55,35,1400
20,20,35,1401
18,34,32,1402
38,27,31,1403
20,55,26,1404
24,16,33,1405
24,73,34,1406
26,31,26,1407
34,29,30,1408
21,46,28,1409
27,42,29,1410
38,35,26,1411
18,66,32,1412
19,57,29,1413
21,76,30,1414
28,51,31,1415
35,65,34,1416
18,25,34,1417
32,68,27,1418
36,42,27,1419
24,57,31,1420
38,10,31,1421
20,72,27,1422
34,17,27,1423
34,17,34,1424
26,12,35,1425
30,23,26,1426
23,11,25,1427
20,45,35,1428
21,64,34,1429
23,79,29,1430
38,78,31,1431
21,39,32,1432
26,75,33,1433
25,72,32,1434
29,21,28,1435
23,62,27,1436
29,60,29,1437
32,13,33,1438
22,13,32,1439
36,38,32,1440
22,30,32,1441
29,21,34,1442
31,38,27,1443
20,32,28,1444
32,43,32,1445
21,26,28,1446
27,12,27,1447
36,44,31,1448
30,70,30,1449
34,15,34,1450
32,27,31,1451
31,48,28,1452
30,66,30,1453
19,29,28,1454
31,77,27,1455
26,16,31,1456
38,50,34,1457
36,73,34,1458
24,45,34,1459
31,66,26,1460
20,77,29,1461
21,63,27,1462
32,73,30,1463
27,57,32,1464
31,15,33,1465
28,55,29,1466
35,44,26,1467
35,40,27,1468
21,69,33,1469
26,54,31,1470
18,62,30,1471
25,29,30,1472
21,56,32,1473
28,19,26,1474
25,15,30,1475
18,50,28,1476
35,58,35,1477
21,32,32,1478
35,22,33,1479
18,54,34,1480
30,65,31,1481
22,13,34,1482
31,70,28,1483
18,48,34,1484
23,23,33,1485
34,56,33,1486
21,32,32,1487
23,58,25,1488
31,78,26,1489
32,29,30,1490
34,78,35,1491
18,26,34,1492
26,18,30,1493
38,50,34,1494
21,69,33,1495
18,19,30,1496
18,19,33,1497
31,52,26,1498
32,78,35,1499
18,31,28,1500
20,28,33,1501
18,68,28,1502
26,80,25,1503
31,49,26,1504
34,39,30,1505
34,24,29,1506
36,49,32,1507
21,14,27,1508
27,48,34,1509
38,79,31,1510
34,47,29,1511
25,18,25,1512
20,31,25,1513
29,42,34,1514
29,10,32,1515
18,75,25,1516
33,56,25,1517
24,51,25,1518
24,33,30,1519
31,38,34,1520
23,57,31,1521
21,68,28,1522
37,45,33,1523
35,25,33,1524
38,79,28,1525
29,26,30,1526
34,65,25,1527
18,31,27,1528
21,26,34,1529
37,61,27,1530
38,19,35,1531
18,42,31,1532
35,32,29,1533
28,46,28,1534
34,76,28,1535
23,49,32,1536
21,16,25,1537
24,51,34,1538
23,28,30,1539
28,69,32,1540
37,48,30,1541
28,37,34,1542
26,65,26,1543
30,56,27,1544
20,46,26,1545
27,22,32,1546
34,68,27,1547
23,45,35,1548
32,17,33,1549
37,15,25,1550
25,56,29,1551
20,67,33,1552
20,75,25,1553
37,75,34,1554
24,23,33,1555
32,24,29,1556
29,79,25,1557
24,29,26,1558
28,59,33,1559
33,68,31,1560
32,10,26,1561
27,71,27,1562
35,35,33,1563
33,37,32,1564
23,22,33,1565
22,19,35,1566
27,44,28,1567
20,69,28,1568
31,38,25,1569
19,27,27,1570
34,58,31,1571
38,72,32,1572
36,26,33,1573
21,69,27,1574
38,80,29,1575
22,52,35,1576
33,15,34,1577
24,57,35,1578
35,58,30,1579
35,35,30,1580
23,15,29,1581
35,71,26,1582
35,75,33,1583
35,36,34,1584
24,78,34,1585
18,51,32,1586
36,29,30,1587
27,59,28,1588
20,23,31,1589
20,34,34,1590
23,17,31,1591
23,76,29,1592
28,54,29,1593
24,29,32,1594
31,74,28,1595
30,49,28,1596
21,55,33,1597
34,45,29,1598
26,72,28,1599
28,75,34,1600
25,37,35,1601
31,24,32,1602
28,25,34,1603
20,50,30,1604
38,77,25,1605
29,38,32,1606
33,52,27,1607
18,53,25,1608
23,10,31,1609
30,58,27,1610
29,25,27,1611
31,28,28,1612
18,76,30,1613
18,42,25,1614
32,24,31,1615
31,32,25,1616
23,56,26,1617
33,27,27,1618
21,78,26,1619
26,47,32,1620
30,45,26,1621
19,53,28,1622
37,43,34,1623
21,14,26,1624
30,55,34,1625
24,35,34,1626
31,39,34,1627
37,39,32,1628
33,10,27,1629
26,49,33,1630
27,74,29,1631
34,30,30,1632
33,73,25,1633
24,67,30,1634
37,80,35,1635
29,74,32,1636
21,76,26,1637
30,21,25,1638
33,55,29,1639
34,45,32,1640
24,80,26,1641
31,61,26,1642
29,67,35,1643
36,61,30,1644
20,77,34,1645
24,56,28,1646
31,73,28,1647
31,66,33,1648
23,20,31,1649
23,10,29,1650
20,46,26,1651
21,10,26,1652
28,45,29,1653
18,44,26,1654
20,34,28,1655
20,52,29,1656
31,52,33,1657
21,25,33,1658
28,54,25,1659
25,76,27,1660
28,65,30,1661
32,53,33,1662
